start_month,start_year,end_month,end_year,duration_in_months,company_name,designation,pos
1,2015,1,2016,12,Technology Specialist,Camp Tecnologico,pos4
1,2016,3,2019,38,Founder, CEO,GOTEKT,pos0
1,2016,3,2019,38,Founder, Executive Director,Teksun Information System,pos1
1,2016,3,2019,38,Founder, Managing Director,Teksun Lab,pos2
1,2016,3,2019,38,Founder, Sales Director,Teksun Aerospace,pos3
1,2015,3,2019,50,Founder, CEO,Teksun Microsys,pos4
1,2015,3,2019,50,Founder, CEO,Teksun,pos5
1,2015,3,2019,50,Founder, CEO,Teksun,pos6
1,2012,1,2015,36,Embedded Engineer,eInfochips,pos7
1,2012,1,2013,12,Founder, Sole Proprietor,Teksun,pos8
1,2012,1,2013,12,Founder, Sole Proprietor,Teksun,pos9
1,2012,3,2019,86,Founder, Director,Swaraj Seeds Company,pos10
1,2011,1,2012,12,Embedded Engineer,Volansys Technologies Pvt.,pos11
1,2010,1,2011,12,Founder, Partner,Uma Automotive,pos12
1,2006,1,2010,48,Founder, Proprietor,Techart,pos13
1,2017,3,2019,26,Principal Engineer/Software Architect/Tech Lead,Locol Cabs,pos0
1,2016,1,2017,12,Sr. Technical Architect,Mindstretch Learnings,pos1
1,2009,1,2016,84,Founder, Co-Founder, Technical Architect,Antarix Networks,pos2
1,2007,1,2008,12,Technical Architect, Mobile Data Products,Onmobile Global,pos3
1,2000,1,2007,84,Technical Architect,ITFinity Solutions,pos4
1,2016,3,2019,38,Technical Product Manager,CodeMetro,pos0
1,2012,1,2016,48,Sr. Business Systems Analyst aka Product Manager,Century National Insurance Company,pos1
1,2011,1,2012,12,Business Systems Analyst,Mercury Insurance,pos2
1,2010,1,2011,12,QA Analyst,Tokio Marine,pos3
1,2016,1,2017,12,Embedded engineer,Oizom Instruments,pos0
1,2015,1,2016,12,Student intern,Mercedes-Benz Research and Development, India,pos1
1,2015,1,2016,12,Senior Research Fellow (Technology),SDTT-Tata Project Vivekananda Tribal Hospital,pos2
1,2015,3,2019,50,Community developer & evangelist (volunteer),FreeCodeCamp,pos3
1,2011,1,2015,48,ICT(Information and Communication Technology),DA-IICT,pos4
1,2016,1,2017,12,Promoter,Abbott Healthcare Private Ltd,pos0
1,2016,3,2019,38,Network sales executive,INDIMEDICS HEALTHCARE PVT. LTD.,pos1
1,2015,1,2016,12,Supervisor,Experience in Pepertab Online Grocery Company,pos2
1,2010,3,2019,110,Associate Director,Thermo Fisher Scientific,pos0
1,2008,1,2009,12,Staff Software Engineer/Manager,Qualcomm Innovation Center,pos1
1,2006,1,2007,12,Senior Software Engineer,DR Systems,pos2
1,2006,1,2008,24,Director,Appwilio,pos3
1,2006,1,2008,24,Director,Strand Life Sciences,pos4
1,2004,1,2005,12,Employee,Kyocera Wireless,pos5
1,2004,1,2005,12,Employee,Kyocera Wireless,pos6
1,2004,1,2005,12,Employee,Kyocera Wireless,pos7
1,2004,1,2005,12,Employee,Kyocera Wireless,pos8
1,1999,1,2004,60,Software Design Engineer/Program Manager,Microsoft Corporation,pos9
1,1999,1,2004,60,Software Design Engineer/Program Manager,Microsoft,pos10
1,1996,1,1997,12,Software Engineer,Tata IBM,pos11
1,2015,3,2019,50,Relationship Manager Operation & Transformation,OYO,pos0
1,2014,1,2015,12,Summer Internship,TATA Technologies,pos1
3,2019,3,2019,0,Employee,oyorooms,pos2
1,2011,1,2017,72,Senior Software Engineer,Direction Software Solutions,pos0
1,2003,1,2011,96,Senior Software Developer,Base Information,pos1
1,2008,3,2019,134,Managing Director,E - Signature,pos0
1,2014,1,2015,12,Full stack developer,Moqod,pos0
3,2019,3,2019,0,Founder,ByteUp,pos1
1,2016,1,2017,12,СТО,MergEye,pos2
1,2014,3,2019,62,Senior Software Engineer,Browserling,pos3
1,2014,1,2016,24,Full stack developer,Multitest.me,pos4
1,2014,3,2019,62,Employee,Backbone and Reactjs.,pos5
1,2013,1,2014,12,Django developer,SteelKiwi Development,pos6
1,2013,3,2019,74,CTO,Senior Software Engineer,pos7
1,2013,1,2014,12,Django Developer,SteelKiwi,pos8
1,2013,1,2017,48,CTO,Service to track the postal Russian,pos9
1,2012,1,2013,12,Python Developer,iRessources,pos10
1,2012,1,2013,12,Developer,Consulting,pos11
1,2007,1,2011,48,Employee,Junior,pos12
3,2019,3,2019,0,Founder,H/F Advance Fund,pos0
1,2015,3,2019,50,Founder, Founder, CEO,HACK Fund,pos1
1,2008,3,2019,134,Founder, Founder,H/F Vintage Fund,pos2
1,2008,3,2019,134,Founder, Founder, CEO,H/F Next Fund,pos3
1,2008,3,2019,134,Founder, Founder, CEO,Hackers/Founders,pos4
1,2008,3,2019,134,Founder, Founder, CIO,H/F Next Fund,pos0
1,2008,3,2019,134,Founder, Founder,H/F Vintage Fund,pos1
1,2008,3,2019,134,Founder, Founder, CIO,Hackers/Founders,pos2
1,2015,1,2017,24,JavaScript developer,ITM Business Sp. z o.o.,pos0
1,2015,3,2019,50,JavaScript Developer,Freelance,pos1
1,2013,1,2015,24,Web developer,ITM Business Sp. z o.o. Sp. k.,pos2
1,2015,3,2019,50,Software Engineer,GE Digital,pos0
1,2015,1,2016,12,Hacker In Residence,Hack Reactor,pos1
1,2012,1,2015,36,Process Engineer,Ascent Engineering,pos2
1,2008,1,2013,60,Process Engineer,Fluor,pos3
1,2005,1,2008,36,Project / Process Engineer,Versa Engineering and Technologies,pos4
1,2003,1,2005,24,Chemical Development Engineer,Sipix,pos5
1,2002,1,2003,12,Junior Process Engineer,SWAT Engineering (Now Known As Versa),pos6
1,1999,1,2000,12,Student Summer Intern,Sandia National Laboratories,pos7
1,1998,1,1999,12,Student Intern,The Clorox Company,pos8
1,2014,1,2015,12,Senior DBA-MySQL, SQL Server, Cassandra-Cloud Reliability engineering(CRE),The World Bank,pos0
1,2012,1,2013,12,Lead SQL Server DBA / Architect,BrownGreer PLC,pos1
1,2012,1,2014,24,Senior DBA-SQL Server,Stanley Black & Decker,pos2
1,2011,1,2012,12,Lead DBA-MySQL, SQL Server,Cargill,pos3
1,2010,1,2011,12,DBA-MySQL, SQL Server,IBM/Walt Disney Company,pos4
1,2008,1,2009,12,Website content developer,Governors State University,pos5
3,2019,3,2019,0,Manager - Cloud reliability engineering (CRE),National Mortgage Insurance,pos6
1,2016,3,2019,38,Graduate Teaching Assistant,University of Texas at Arlington,pos0
1,2013,1,2015,24,Software Dev Test Engineer,Quinnox Consultancy Services,pos1
1,2012,1,2013,12,Programmer Analyst,Gocodex Technologies,pos2
1,2016,1,2017,12,Marketing/Business Analysis Associate, Shenzhen,Ninestar Intelligent Aviation Technology Co.,pos0
1,2015,3,2019,50,Operations Analyst and Market Specialist,Cuselight LLC. (E-Commerce),pos1
1,2012,1,2013,12,Customer Service Specialist, Shenzhen,Grand Skylight Hotel,pos2
3,2018,3,2019,12,Software Engineer,Abhra Inc,pos0
9,2017,2,2018,5,Full Stack Developer,Zetoe,pos1
8,2015,8,2017,24,Associate Software Engineer,Osmosys Software Solutions Pvt. Ltd.,pos2
4,2013,3,2019,71,Owner / Designer / Illustrator / Photographer,Black Mast,pos0
1,2005,3,2019,170,Graphic Designer,Freelance Design,pos1
5,2014,6,2018,49,Senior Graphic Designer,Indiegogo,pos2
6,2013,4,2014,10,Marketing Graphic Designer,HNTB,pos3
4,2012,4,2014,24,UI Designer,Dogpatch Technology,pos4
10,2011,4,2013,18,Graphic Designer,Expert Communications, Inc.,pos5
9,2010,1,2012,16,Contract Graphic Designer and Production Artist,The Creative Group,pos6
10,2008,8,2010,22,PM Graphic Artist,KTXL FOX40 News,pos7
3,2008,8,2008,5,Graphic Designer,Sundog Screenprints LLC,pos8
1,2007,6,2008,17,Art Director / Editorial Design Manager / Editorial Designer,The Orion, Chico State,pos9
4,2017,3,2019,23,Steering Committee Member,DevOps++ Alliance,pos0
9,2013,3,2019,66,Steering Committee Member,Agile Testing Alliance,pos1
1,2016,3,2016,2,Principal Consultant and Agile Coach,QAAgility Technologies,pos2
5,2015,12,2015,7,Test Manager,Xoriant,pos3
10,2001,10,2005,48,Senior Software Engineer,TecSoft Solutions,pos4
11,2000,10,2001,11,Sr. Training Officer,Aptech Computer Education,pos5
3,2018,3,2019,12,Test Manager - High Tech,Sogeti,pos6
11,2016,2,2018,15,Senior Test Consultant and Agile Coach,Sogeti,pos7
6,2014,3,2019,57,Informatica BDM architect,Cognizant,pos0
3,2007,12,2008,21,Technology Consultant,Hewlett-Packard,pos1
3,2006,4,2007,13,Associate Consultant,Eastern Horizon Technology, LLC,pos2
7,2015,3,2019,44,Sr. Business Process Consultant,SAP,pos0
1,1999,1,2000,12,Sr. Consultant,Unique Comp Inc.,pos0
1,1997,1,1998,12,System Analyst,S N Sofsys,pos1
2,2015,3,2019,49,Associate Director,Cognizant Technology Solutions,pos0
3,2014,2,2015,11,Technology Manager / Solution Architect,SapientNitro,pos1
7,2012,3,2014,20,eCom Solution Architect - SMT,Avon,pos2
7,2010,7,2012,24,Consulting Architect,Harley-Davidson,pos3
7,2007,7,2012,60,Managing Consultant,IBM,pos4
5,2002,6,2007,61,Sr Consultant,Capgemini (Kanbay Inc),pos5
12,2000,4,2002,16,Sr Application Developer,S.S.I. Technologies,pos6
4,2000,12,2000,8,Software Engineer,Covansys,pos7
4,2013,3,2019,71,Java developer,AT&T,pos0
10,2010,4,2013,30,Java Developer,Blue Cross Blue Shield of Illinois, New Mexico, Oklahoma & Texas,pos1
3,2009,9,2010,18,Java Developer,MasterCard,pos2
8,2008,3,2009,7,Java developer,Zircon Systems,pos3
8,2017,3,2019,19,Senior Java Developer,DNB,pos0
4,2013,5,2016,37,Solution Designer and Senior java Deveoper,TeliaSonera,pos1
7,2012,3,2013,8,Senior Java Developer,Nets Branch Norway,pos2
6,2010,6,2012,24,Senior Java Developer,TCS,pos3
4,2008,6,2010,26,Software Programmer,iGATE,pos4
7,2012,5,2014,22,Senior Developer,Uniainteractive,pos0
4,2012,6,2013,14,CEO,ONESTUDIO,pos1
1,2016,3,2019,38,Growth Hacker,Browserling Inc.,pos0
6,2018,3,2019,9,Software Engineer,ServerHub,pos0
11,2014,3,2019,52,Senior Software Engineer,Browserling Inc.,pos1
8,2013,3,2018,55,CTO,Byte-up,pos2
7,2017,12,2017,5,Full Stack Engineer,AmazeOwl,pos3
1,2013,6,2017,53,CTO,PBRF.RU,pos4
3,2016,11,2016,8,CTO,MergEye,pos5
10,2014,3,2016,17,Python / Javascript developer,Multitest.ua,pos6
7,2014,10,2014,3,Python / Javascript developer,Moqod,pos7
3,2014,9,2014,6,Mobile Developer,itpeople.ee,pos8
1,2013,5,2014,16,CTO,TradeMac.ru,pos9
4,2015,3,2019,47,Host,Talk Python To Me and Python Bytes Podcasts,pos0
4,2018,3,2019,11,Python Software Foundation Fellow,Python Software Foundation,pos1
10,2015,2,2016,4,Director, Digital Learning Platforms,Global Knowledge Training,pos2
8,2006,10,2015,110,Technical Curriculum Lead and Instructor,DevelopMentor,pos3
4,2012,8,2015,40,Speaker,INETA (International .NET Association),pos4
1,2001,12,2012,143,Owner,United Binary, LLC,pos5
12,1998,8,2006,92,Senior Software Engineer,EyeTracking, Inc.,pos6
2,2017,3,2019,25,Javascript / Digital Developer / UI Designer (Remote/Freelance),Link Engineering Company,pos0
8,2014,3,2019,55,Javascript Developer / Interactive Developer (Remote/Freelance),INNOCEAN USA,pos1
8,2014,10,2016,26,Javascript Programmer,ES3,pos2
3,2011,8,2014,41,Interactive Developer / Visual Designer / Front End Developer,Lowe Campbell-Ewald,pos3
11,2012,12,2012,1,Web Developer and Designer,Maddox Public Adjusting,pos4
7,2012,8,2012,1,Web Developer and Designer,Arete Productions LLC,pos5
5,2010,6,2010,1,Web Developer and Designer,Continental Construction,pos6
7,2009,8,2009,1,Web Developer and Designer,Slopedbrow,pos7
4,2016,3,2019,35,Freelance Web/Javascript/GrowthHacking/DevOps Developer,Freelancer,pos0
10,2014,3,2019,53,Co-Founder,PlovdivJS,pos1
1,2018,3,2018,2,Freelance Javascript Developer,ONLIME Bulgaria,pos2
12,2017,2,2018,2,Tech Support Level 2 for ASUS UK,Retail Direct,pos3
9,2017,10,2017,1,Javascript Developer,Delasport,pos4
6,2013,9,2017,51,Co-Founder and Volunteer,Hackafe Plovdiv,pos5
8,2017,8,2017,0,Front-End Angular Developer and Juniour DevOps,Codix,pos6
1,2017,2,2017,1,Front End Architect,Mailjet,pos7
1,2017,2,2017,1,Front-End Contractor,PROXIAD,pos8
7,2016,1,2017,6,Front-End Engineer,Cloud Factory OOD,pos9
3,2010,6,2011,15,Senior DBA,Tech Mahindra,pos0
1,2007,3,2010,38,Database Administrator,Sapient,pos1
3,2012,3,2019,84,Database Engineer,Facebook,pos0
9,2010,3,2012,18,MySQL Geek / Principal Infrastructure Architect,DeNA,pos1
7,2008,8,2010,25,Principal MySQL consultant,Sun Microsystems,pos2
9,2006,6,2008,21,Senior Consultant,MySQL,pos3
4,2001,8,2006,64,Software Engineer,Sony Corporation,pos4
1,2016,3,2019,38,Senior Human Resources Officer,Alghanim International General Trading & Contracting Co. WLL,pos0
3,2003,3,2019,192,Human Resources Officer,M/s Kharafi National,pos1
12,2014,1,2016,13,Senior Recruitment Officer,KCC Engineering Inc,pos2
4,2001,3,2002,11,India,ICICI Bank,pos3
10,2017,3,2019,17,Director Of Operations,SR MEDICAL BILLING & CONSULTANCY SERVICES,pos0
11,2011,3,2019,88,Manager - Medical Billing&Coding,Millennium Technosoft Ltd,pos1
7,2006,10,2011,63,Coordinator,Elico Healthcare Services,pos2
4,2012,3,2019,83,Document Controller,Kharafi National,pos0
6,2009,1,2012,31,Office Administrator,Center Link Solutions Pvt. Co,pos1
4,2013,3,2019,71,Owner / Designer / Illustrator / Photographer,Black Mast,pos0
1,2005,3,2019,170,Graphic Designer,Freelance Design,pos1
5,2014,6,2018,49,Senior Graphic Designer,Indiegogo,pos2
6,2013,4,2014,10,Marketing Graphic Designer,HNTB,pos3
4,2012,4,2014,24,UI Designer,Dogpatch Technology,pos4
10,2011,4,2013,18,Graphic Designer,Expert Communications, Inc.,pos5
9,2010,1,2012,16,Contract Graphic Designer and Production Artist,The Creative Group,pos6
10,2008,8,2010,22,PM Graphic Artist,KTXL FOX40 News,pos7
3,2008,8,2008,5,Graphic Designer,Sundog Screenprints LLC,pos8
1,2007,6,2008,17,Art Director / Editorial Design Manager / Editorial Designer,The Orion, Chico State,pos9
1,2014,3,2019,62,Technical Architect,e-Zest Solutions Ltd.,pos0
4,2013,2,2014,10,Software Developer .NET,m-hance,pos1
11,2010,3,2013,28,Technical Associate,Tech Mahindra Ltd,pos2
1,2016,3,2019,38,Technical Architect,AT&T,pos0
1,2016,3,2019,38,Director of Engineering/Chief Architect,RightEye,pos0
1,2014,1,2015,12,Chief Architect,[Undisclosed startup] - www 1776.vc,pos1
1,2010,1,2016,72,Technical Architect/Principal Software Engineer,The Advisory Board Company www.advisory.com,pos2
1,2004,1,2010,72,Software Specialist/Technical Lead/Architect,Genworth Financial/Patni Americas,pos3
1,2001,1,2004,36,Software Engineer/Senior Software Engineer,Patni Computer Systems,pos4
1,2015,3,2016,14,Head of mobile R&D,grof.it,pos0
1,2012,1,2014,24,Project Wykoparka,Webnet,pos1
12,2012,8,2014,20,Head of Mobile R&D,T Dispatch Ltd,pos2
1,2011,1,2012,12,Contractor,Hewlett-Packard,pos3
1,1999,1,2012,156,Lead Architect,NEO.pl,pos4
1,2008,1,2009,12,Warsaw: European Capitol of Culture 2016,Capital City of Warsaw,pos5
1,2008,1,2009,12,Contractor,Motorola,pos6
1,2000,1,2006,72,Technical Project Manager,BLStream,pos7
1,2014,3,2019,62,Principal Cloud Architect,Cloud Technology Partners,pos0
1,2010,1,2014,48,Vice President (Projects Enterprise Architecture Engineering and Infrastructure),Brown Brothers Harriman,pos1
1,2007,1,2008,12,Consulting Senior Technical Architect,BellSouth,pos2
1,2006,1,2007,12,Consulting Technical Architect,TIAA-CREF,pos3
1,2006,1,2007,12,Consulting Technical Architect,Boston Scientific,pos4
1,2005,1,2006,12,Engineer/Senior Systems Integrator/Consultant - PFPC Global Fund Services,Bny,pos5
1,2005,1,2008,36,Consulting Technical Architect,Ford Motor Company,pos6
1,2000,1,2005,60,Consulting Software Engineer,Order Trust,pos7
1,2000,1,2005,60,Lead Software Engineer,Pnc,pos8
1,1999,1,2000,12,Software Engineer,Netsuite,pos9
1,1999,1,2000,12,Consulting Software Engineer,Roshitech,pos10
6,2016,3,2019,33,Founding Member & Core Maintainer,Aegir Cooperative,pos0
3,2013,3,2019,72,Enterprise Cloud Architect, Drupal/Aegir Consultant,Colan Schwartz Consulting Services,pos1
1,2006,3,2019,158,Contributor and Maintainer,Drupal,pos2
1,2015,1,2016,12,Technical Architect,G4S,pos0
1,2015,3,2019,50,Senior Architect,Ness Technologies,pos1
1,2011,1,2015,48,Technical Architect,HCL Technologies,pos2
1,2011,1,2015,48,Technical Architect,HCL Technologies,pos3
1,2009,1,2011,24,Technical Manager,Vinculum Solutions,pos4
1,2007,1,2008,12,Senior Developer,VeriFone,pos5
1,2007,1,2009,24,Technical Lead,GlobalLogic India,pos6
1,2003,1,2007,48,Senior Software Engineer,HCL Technologies,pos7
1,2003,1,2007,48,Senior Software Engineer,HCL Technologies,pos8
1,2014,1,2015,12,Founder, CTO,HoverCrowd,pos0
1,2013,1,2016,36,Community Technical Architect,Appirio,pos1
1,2012,1,2013,12,Technical Architect,Phase2 Technology,pos2
1,2009,1,2012,36,Developer,Treehouse Agency,pos3
1,2008,3,2019,134,Owner/Lead Architect,Code Dreamers,pos4
1,2007,1,2009,24,LIS Sr Analyst,IU Health,pos5
1,2004,1,2006,24,Solution Lead,Cerner,pos6
1,2004,1,2007,36,Integration Architect,Cerner,pos7
1,2004,1,2007,36,Integration Architect,Cerner,pos8
1,2004,1,2006,24,Solution Lead,Cerner,pos9
1,2000,1,2004,48,System Administrator,Jacobs Engineering Group,pos10
1,2012,3,2019,86,VP of Engineering,MobSoc Media,pos0
1,2011,3,2019,98,VP of Product Development,ITAgility,pos1
1,2004,1,2011,84,,Accenture,pos2
1,2000,1,2004,48,Employee,Converge,pos3
1,2000,1,2004,48,NETWORK SUPPORT ENGINEER,Nortel Networks,pos4
1,2014,3,2019,62,Head of Enterprise Architecture,Vocalink (Permanent),pos0
1,2012,1,2013,12,Employee,Company Size - 35000,pos1
1,2012,1,2014,24,Employee,Company Size - 1000,pos2
1,2011,1,2012,12,Employee,Company Size - 5500,pos3
1,2011,1,2012,12,Technical Architect,Hays IT - Commercial and Planning,pos4
1,2010,1,2011,12,Technical Architect,News International,pos5
1,2005,1,2010,60,Technical Consultant,Clyde & Co,pos6
1,2004,1,2005,12,Consultant Links field Technologies,Technical Architect London Borough of Camden,pos7
1,2003,1,2004,12,Systems Engineer,Convergys,pos8
3,2019,3,2019,0,Enterprise Strategy,VocaLink,pos9
1,2017,3,2019,26,CTO,Titan Urban Transportation,pos0
1,2016,1,2017,12,MOBILE APP ENTREPRENEUR AND CONSULTANT,Independent,pos1
1,2013,1,2016,36,SENIOR TECHNICAL ARCHITECT & LEAD,Optaros,pos2
1,2008,1,2013,60,CONSULTING TECHNICAL DIRECTOR,Oracle,pos3
1,2006,1,2008,24,LEAD TECHNICAL ARCHITECT,Brendan Consulting,pos4
1,2005,1,2006,12,SENIOR SOFTWARE ENGINEER,ATG (Art Technology Group),pos5
1,1998,1,2005,84,TECHNICAL ARCHITECT,SPL WORLDGROUP INC. (acquired by Oracle),pos6
1,2017,1,2018,12,Chief Architect and Entrepreneur-in-Residence,Kontiki Labs,pos0
1,2015,1,2017,24,Co-Founder, Head of Design and Technology,www.factordaily.com,pos1
1,2012,1,2013,12,consulting CTO,bookmachine.co,pos2
1,2010,1,2015,60,Founder, Co- founder & Chief Product Officer,Themeefy,pos3
1,2009,3,2019,122,Employee,Sievelogic Software Technologies  Chief Technical Architect,pos4
1,2003,1,2009,72,Software Programmer,Symantec,pos5
1,2003,1,2009,72,Software Programmer,Symantec,pos6
1,2003,1,2009,72,Lead developer,Symantec,pos7
1,2003,1,2009,72,Lead developer,Symantec,pos8
1,2013,1,2014,12,Lead Data & Solution Architect,UBS,pos0
1,2012,1,2013,12,Enterprise Architect (Hedge Fund),Convexity Capital Management,pos1
1,2011,1,2012,12,Finance Solution Architect,Lloyds Banking Group,pos2
1,2011,1,2012,12,Finance Solution & Data Architect,Maersk,pos3
1,2010,1,2011,12,Lead Solution Architect,LGC Group,pos4
1,2010,1,2011,12,Lead Portfolio Solution Architect,Canada life,pos5
1,2010,1,2011,12,Lead Process Architect,Royal Bank of Scotland,pos6
1,2010,1,2011,12,Lead Enterprise Architect,EASA,pos7
1,2009,1,2010,12,Senior SOA Enterprise architect,Gisecke  Devrient,pos8
1,2009,1,2010,12,Lead Service Design Architect,Unilever,pos9
1,2008,1,2009,12,Head of Architecture,City & Guilds,pos10
1,2007,1,2008,12,Senior Enterprise Architect,Volkswagen,pos11
1,2006,1,2007,12,Global Executive ERP Enterprise Architect,GlaxoSmithKline (GSK),pos12
1,2005,1,2006,12,Employee,Head Technical Design Authority,pos13
1,2004,1,2005,12,DaimlerChrysler Services/ German Stock Exchange,Technical Design Authority,pos14
1,2003,1,2004,12,Data & J2EE Architect,Syntegra,pos15
1,2003,1,2004,12,Head Solution Architect,BT,pos16
1,2002,1,2003,12,Lead Business Aligned Technical Architect,Marks  Spencer,pos17
1,2001,1,2002,12,Employee,EDS,pos18
1,2001,1,2004,36,Lead Business Architect,Planlogic  BP,pos19
1,2000,1,2001,12,Software Architect,Frankfurt,pos20
3,2019,3,2019,0,Data Architect,Tullett Prebon,pos21
1,2017,3,2019,26,Founder, CTO,inLoop VR,pos0
1,2015,3,2019,50,Senior Team Lead/Developer Manager,MIK Fund Solutions,pos1
1,2014,1,2015,12,Senior Developer/Architect,Annaly Capital Management,pos2
1,2013,3,2019,74,Founder, CTO,Outsetnet,pos3
1,2011,1,2013,24,Functional & Technical Architect/Senior Business Analyst,TD Securities.,pos4
1,2008,1,2011,36,Senior Technical Lead/Integration Specialist,Market Axess.,pos5
1,2007,1,2008,12,Senior Technical Specialist/Systems Architect,Cerberus Capital Management.,pos6
1,2006,1,2007,12,Senior Technical Specialist/Technical PM,BNP Paribas,pos7
1,2005,1,2006,12,Software Systems Architect,BookRunner Systems,pos8
1,2001,1,2005,48,Technical Project Lead (VP),Lehman Brothers,pos9
1,2001,1,2002,12,Senior System Analyst,(Deutsche Bank),pos10
1,2001,1,2002,12,Client Engagement Manager (Barclay's Capital),ION Trading,pos11
1,1997,1,1998,12,freelance programmer,Freelance Contractor,pos12
1,1997,1,1998,12,Developer,Fusebox,pos13
1,2015,1,2016,12,Technical Architect,VoterCircle,pos0
1,2012,1,2013,12,Consultant - SOA and BPM Practice,KBACE Technologies,pos1
1,2005,1,2012,84,Solution Designer,THBS,pos2
9,2017,4,2018,7,Technical Architect [conract position],Mobilution,pos0
4,2017,8,2017,4,Technical Architect [contract position],Blueberry Labs,pos1
2,2017,4,2017,2,Senior Consultant Architect [contract position],DSmart Systems Private Limited,pos2
